id;ssic;name
520;46473;Wholesale of stationery
521;46474;Wholesale of books and magazines
522;46479;Wholesale of paper, paper and cellophane products and stationery n.e.c.
523;46491;Wholesale of optical equipment and supplies (excluding binoculars)
524;46492;Wholesale of photographic equipment and supplies (including binoculars)
525;46499;Wholesale of other household goods n.e.c.
526;46511;Wholesale of computer hardware and peripheral equipment (except cybersecurity related hardware and peripheral equipment)
527;46512;Wholesale of computer software (except games and cybersecurity software)
528;46513;Wholesale of computer accessories (e.g. memory cards, computer cables)
529;46514;Wholesale of cybersecurity software, hardware and peripheral equipment
530;46521;Wholesale of telecommunications equipment (excluding handphones)
531;46522;Wholesale of electronic components
532;46523;Wholesale of handphones and other telecommunications equipment (e.g. smart watches, wearable computer and electronic books)
533;46530;Wholesale of agricultural machinery, equipment and supplies
534;46541;Wholesale of industrial machinery and equipment (e.g. industrial crane)
535;46542;Wholesale of construction equipment (e.g. concrete mixer)
536;46543;Wholesale of lifts, escalators and industrial and office air-conditioning equipment
537;46544;Wholesale of electrical and wiring accessories
538;46549;Wholesale of industrial, construction and related machinery and equipment n.e.c.
539;46551;Wholesale of marine equipment and accessories (including marine navigational equipment and radar)
540;46552;Wholesale of aircraft equipment and supplies (including aeronautical equipment)
541;46559;Wholesale of transport equipment except motor vehicles and motorcycles n.e.c.
542;46561;Wholesale of motor vehicles except motorcycles and scooters
543;46562;Wholesale of motorcycles and scooters
544;46563;Wholesale of parts and accessories for vehicles
545;46591;Wholesale of office machines and equipment (including accessories)
546;46592;Wholesale of medical, professional, scientific and precision equipment
547;46593;Wholesale of commercial food service equipment (e.g. hotel kitchen equipment)
548;46594;Wholesale of service establishment equipment and supplies (e.g. beauty salon equipment)
549;46595;Wholesale of security and fire-fighting equipment
550;46599;Wholesale of other machinery and equipment n.e.c.
551;46611;Wholesale of crude petroleum
552;46612;Wholesale of mineral fuels and lubricants (excluding ship bunkering)
553;46619;Wholesale of solid, liquid and gaseous fuels and related products n.e.c. (e.g. bitumen)
554;46620;Wholesale of metals and metal ores (e.g. steel pipes) except general hardware
555;46631;Wholesale of logs, sawn timber, plywood and related products
556;46632;Wholesale of general hardware (e.g. locks, hinges)
557;46633;Wholesale of structural clay and concrete products (e.g. mosaic tiles, bricks)
558;46634;Wholesale of paints (including varnishes and supplies)
559;46635;Wholesale of glass
560;46639;Wholesale of construction materials, hardware, plumbing and heating equipment and supplies n.e.c. (e.g. cement, sand)
561;46641;Wholesale of basic industrial chemicals (except fertilisers)
562;46642;Wholesale of chemical fertilisers
563;46643;Wholesale of petrochemical products
564;46649;Wholesale of chemicals and chemical products n.e.c.
565;46651;Wholesale of scrap, junk and waste dealers
566;46659;Wholesale of other intermediate products, waste and scrap n.e.c.
567;46661;Ship chandlers
568;46662;Ship bunkering
569;46900;Wholesale trade of a variety of goods without a dominant product
570;47111;Supermarkets
571;47112;Mini-marts, convenience stores and provision shops
572;47191;Department stores
573;47192;Department stores cum supermarkets (including hypermarkets)
574;47199;Retail sale in other non-specialised stores n.e.c.
575;47211;Retail sale of fruits and vegetables
576;47212;Retail sale of meat, poultry, eggs and seafood
577;47213;Retail sale of confectionery and bakery products (not manufactured on site)
578;47214;Retail sale of health supplements
579;47219;Retail sale of food n.e.c.
580;47220;Retail sale of beverages
581;47230;Retail sale of tobacco products
582;47311;Retail sale of motor vehicles except motorcycles and scooters
583;47312;Retail sale of motorcycles and scooters
584;47313;Retail sale of tyres and batteries
585;47314;Retail sale of spare parts and accessories for motor vehicles
586;47320;Retail sale of automotive fuel (e.g. petrol kiosks, CNG refilling stations)
587;47411;Retail sale of handphones
588;47412;Retail sale of computer hardware (including handheld computers) and peripheral equipment, and computer software (except games and cybersecurity hardware and software)
589;47413;Retail sale of computer games (including electronic games and video game consoles)
590;47414;Retail sale of computer and office equipment consumables (e.g. printer cartridges)
591;47415;Retail sale of cybersecurity software, hardware and peripheral equipment
592;47420;Retail sale of audio and video equipment (e.g. radio and television sets, sound reproducing and recording equipment)
593;47510;Retail sale of textiles
594;47521;Retail sale of paints
595;47522;Retail sale of hardware (e.g. chains, changkols, axes)
596;47529;Retail sale of hardware, paint and glass n.e.c. (e.g. wood, glass, sanitary ware, Do-It-Yourself materials)
597;47531;Retail sale of furniture (including mattresses, cushions)
598;47532;Retail sale of furnishings (e.g. curtains, carpets, pillow cases)
599;47533;Retail sale of lighting and lighting accessories
600;47534;Retail sale of crockery, cutlery and kitchen utensils
601;47535;Retail sale of household electrical appliances and equipment (e.g. vacuum cleaners, washing machines, refrigerators)
602;47536;Retail sale of musical instruments and scores
603;47537;Retail sale of security and fire-fighting equipment
604;47539;Retail sale of electrical household appliances, furniture, lighting equipment and other household articles n.e.c.
605;47610;Retail sale of books, newspapers and stationery (including newsvendors)
606;47620;Retail sale of music and video recordings (e.g. DVDs, Blu-ray discs)
607;47630;Retail sale of sports apparel and equipment (including bicycles, boats and healthcare equipment)
608;47640;Retail sale of games and toys
609;47711;Retail sale of clothing for adults
610;47712;Retail sale of children and infants’ clothing (including products and accessories for infants)
611;47713;Retail sale of footwear
612;47714;Retail sale of bags, luggage and travel accessories
613;47715;Retail sale of sewing and clothing accessories (e.g. button, thread, lace, zip, belt, tie)
614;47719;Retail sale of clothing, footwear and leather articles n.e.c.
615;47721;Retail sale of cosmetics and toiletries (including skin care products)
616;47722;Pharmacies and drug stores (Western)
617;47723;Chinese medicine shops
618;47729;Retail sale of pharmaceutical and medical goods n.e.c.
619;47731;Retail sale of jewellery made from precious metals and stones
620;47732;Retail sale of costume jewellery
621;47733;Retail sale of watches and clocks
622;47739;Retail sale of personal effects n.e.c.
623;47741;Retail sale of antiques and works of art
624;47742;Retail sale of handicrafts, collectibles and gifts
625;47743;Retail sale of cut flowers (including wreaths)
626;47744;Retail sale of artificial flowers and plants
627;47745;Retail sale of aquarium fishes (including food and accessories)
628;47746;Retail sale of pet birds and animals (including food and accessories)
629;47749;Retail sale of handicrafts and fancy goods, flowers, plants and pet animals n.e.c.
630;47751;Retail sale of spectacles and other optical goods
631;47752;Retail sale of cameras and other photographic goods
632;47759;Retail sale of optical and photographic goods n.e.c.
633;47761;Retail sale of joss paper and other ceremonial products
634;47762;Retail sale of liquefied petroleum gas (LPG)
635;47769;Retail sale of specific commodities n.e.c.
636;47770;Retail sale of second-hand goods in stores
637;47801;Stalls (including pushcarts) selling uncooked food
638;47802;Stalls (including pushcarts) selling other commodities (other than uncooked food)
639;47910;Retail sale via internet (with income mainly from online sales)
640;47991;Retail sale via vending machines (with income mainly from vending machine sales)
641;47992;Other retail sale not in stores, stalls or markets (e.g. sale via door-to-door canvassing, mail order houses, TV)
642;49101;Railroad services
643;49102;Mass rapid transit systems (including light rail)
644;49211;Public bus services (scheduled services)
645;49212;Chartered bus services (including school buses)
646;49213;Inter-country bus services
647;49214;Taxi services (excluding taxi booking services)
648;49219;Passenger land transport n.e.c. (e.g. private cars for hire with operator and trishaws)
649;49220;Aerial cableways (including cable car services)
650;49231;Freight transport by road
651;49232;Moving services (e.g. delivery services, baggage transfer services, furniture moving services)
652;49239;Freight land transport n.e.c. (e.g. rental and leasing of lorries and trucks with operator)
653;49300;Transport via pipelines
654;50011;International cruise services
655;50012;Other sight-seeing cruise services (e.g. harbour and river cruises)
656;50013;Passenger ferry services
657;50014;Chartering of ships and boats with crew (passenger)
658;50021;Shipping lines (scheduled services)
659;50022;Branches of foreign shipping lines
660;50023;Operators of barges, tugboats and bumboats (freight)
661;50024;Chartering of ships, barges and boats with crew (freight)
662;51001;Airlines (passenger)
663;51002;Airlines (freight)
664;51003;Branches of foreign airlines (passenger)
665;51004;Branches of foreign airlines (freight)
666;51005;Aircraft chartering with operator
667;52101;General warehousing
668;52102;Refrigerated warehousing and storage
669;52103;Storage for dangerous goods
670;52109;Specialised storage n.e.c. (e.g. wine warehousing, document storage and warehousing)
671;52211;Carpark management and operation services
672;52212;Taxi booking services (including private-hire vehicle booking services)
673;52213;Motor vehicle towing services
674;52219;Supporting services to land transport n.e.c.
675;52221;Representative offices of foreign shipping lines
676;52222;Shipping agencies (freight)
677;52223;Port operators
678;52224;Lighterage services
679;52225;Salvaging of distressed vessels and cargos
680;52226;Ship management services
681;52227;Ship brokering services
682;52229;Supporting services to water transport n.e.c.
683;52231;Representative offices of foreign airlines
684;52232;Airline agencies (freight)
685;52233;Airport operation services
686;52234;Airport terminal services (e.g. ground service activities)
687;52239;Supporting services to air transport n.e.c.
688;52241;Cargo surveying services
689;52242;Container services (excluding rental of containers)
690;52243;Crane services (loading and unloading of cargo)
691;52244;Stevedoring services
692;52251;Classification societies
693;52252;Marine surveying services other than classification societies
694;52291;Value added logistics providers
695;52292;Freight forwarding, packing and crating services
696;52299;Other transportation support activities n.e.c.
697;53100;National post activities (e.g. postal services)
698;53200;Courier activities other than national post activities
699;55101;Hotels with restaurant
700;55102;Hotels without restaurant
701;55103;Chalets
702;55109;Other short term accommodation activities n.e.c. (e.g. backpackers/travellers’ hostels, guesthouses, capsule hotel etc)
703;55900;Hostels and dormitories for students, workers and other individuals
704;56111;Restaurants
705;56112;Cafes and coffee houses
706;56121;Fast food outlets
707;56122;Food courts, coffee shops, and eating houses (with mainly food and beverage income)
708;56123;Snack bars and food kiosks (mainly for takeaway, including bubble tea outlets)
709;56130;Pubs
710;56140;Stalls selling cooked food and prepared drinks (including stalls at food courts and mobile food hawkers)
711;56201;Food caterers
712;56202;Canteens
713;58110;Publishing of books, brochures, musical books and other publications
714;58120;Publishing of directories and mailing lists (including financial databases)
715;58131;Publishing of news
716;58132;Publishing of journals, periodicals and magazines
717;58190;Other publishing activities (e.g. publishing of photos, posters, greeting cards)
718;58201;Publishing of gaming software/applications
719;58202;Publishing of other software/applications (non-games)
720;59111;Motion picture/movie production
721;59112;Production of advertisements, corporate videos and event videos
722;59113;Production of dramas, variety shows and documentaries (including production of television programme)
723;59114;Animation production
724;59119;Motion picture, video, television and other programme production activities n.e.c.
725;59120;Motion picture, video, television and other programme post-production activities (including remastering)
726;59131;Motion picture/movie distribution
727;59132;Distribution of dramas, variety shows and documentaries (including television programme)
728;59139;Motion picture, video, television and other programme distribution activities n.e.c.
729;59140;Motion picture projection activities (including cinemas)
730;59201;Sound recording production
731;59202;Music publishing and distribution activities
732;60100;Radio programme production and broadcasting
733;60200;Television programming and broadcasting (including cable, satellite, terrestrial television, internet and mobile)
734;61011;Wired telecommunications network operation (including fixed-line, fibre optics, local/international PSTN and leased circuits)
735;61012;Mobile cellular and other wireless telecommunications network operation
736;61013;Satellite telecommunications network operation
737;61091;Telecommunications resellers/third party telecommunications providers (including value-added network operators)
738;61092;Internet access providers, include ISPs
739;61099;Other telecommunications activities n.e.c. (e.g. provision of VoIP (Voice over Internet Protocol services))
740;62011;Development of e-commerce applications
741;62012;Development of computer games
742;62013;Development of software for interactive digital media (except games)
743;62014;Development of software for cybersecurity
744;62019;Development of other software and programming activities n.e.c.
745;62021;Information technology consultancy (except cybersecurity)
746;62022;Information technology cybersecurity consultancy
747;62023;Computer facilities management activities
748;62090;Other information technology and computer service activities (e.g. disaster recovery services)
749;63111;Web hosting and other hosting services (e.g. cloud hosting, server hosting and data hosting)
750;63112;Data centres
751;63119;Data analytics, processing and related activities n.e.c. (e.g. data entry, streaming services)
752;63120;Web portals (e.g. web search, social networking sites, online marketplace, review portals)
753;63901;News agency activities
754;63909;Other information service activities n.e.c.
755;64110;Central bank
756;64120;Full banks
757;64130;Wholesale banks
758;64140;Offshore banks
759;64150;Merchant banks
760;64160;Finance companies (with deposit taking functions)
761;64190;Other monetary intermediation
762;64201;Bank/Financial holding companies (including insurance holding company)
763;64202;Other holding companies
764;64300;Trusts, funds and similar financial entities (e.g. collective portfolio investment funds (excluding those with rental income))
765;64910;Financial leasing companies
766;64921;Thrift and loan societies and credit associations
767;64922;Credit card services
768;64923;Mutual benefits organisations
769;64924;Money-lending
770;64925;Pawnbrokerage
771;64929;Other credit agencies n.e.c. (e.g. motor finance)
772;64991;Factoring companies
773;64992;Representative offices of foreign banks
774;64993;Money-changing services
775;64994;Remittance services
776;64995;Treasury centres
777;64999;Other financial service activities, except insurance and pension funding activities n.e.c.
778;65110;Life insurance
779;65121;Marine insurance
780;65122;Captive insurance
781;65123;Import, export and credit insurance
782;65124;General insurance (except marine and import, export & credit insurance)
783;65201;Life reinsurance
784;65202;General reinsurance
785;65301;Provident funding
786;65302;Pension funding
787;66110;Securities and commodities exchange
788;66121;Stock, share and bond brokers and dealers
789;66122;Foreign exchange brokers and dealers
790;66123;Gold bullion brokers and dealers
791;66124;Commodity (excluding gold) and futures brokers and dealers
792;66125;Carbon credit brokers/traders
793;66129;Security dealings and commodity contracts brokerage activities n.e.c.
794;66191;Trustee, fiduciary and custody services firms (including nominee companies, trustees and REIT trustees)
795;66192;Corporate finance advisory services
796;66193;Clearing and settlement of financial instruments
797;66194;Activities auxiliary to fund management activities (e.g. independent fund administration firms)
798;66195;Transaction/Payment processing services
799;66199;Other activities auxiliary to financial service activities n.e.c. (e.g. mortgage advisory firms)
800;66210;Risk and damage evaluation (e.g. loss adjusting, claims adjusting)
801;66221;Insurance agencies and agents (including financial planning services)
802;66222;Insurance brokers
803;66291;Representative offices of foreign insurers and professional reinsurers
804;66292;Captive managers
805;66299;Other activities auxiliary to insurance and pension funding n.e.c. (e.g. activities of actuaries)
806;66301;Traditional/Long-only asset/Portfolio management
807;66302;Hedge fund management
808;66303;Property fund management (including REIT management and direct property fund management)
809;66304;Private equity firms
810;66305;Venture capital activities
811;66306;Single/Multiple family offices activities (e.g. managing investments and trusts for a single or multiple families)
812;66309;Fund management activities n.e.c.
813;68101;Real estate developers
814;68102;Operating of serviced apartments
815;68103;Letting of self-owned or leased real estate property except food courts, coffee shops and eating houses (e.g. office/exhibition space, shopping mall, self-storage facilities)
816;68104;Letting and operating of self-owned or leased food courts, coffee shops and eating houses (with mainly rental income)
817;68105;Collective portfolio investment funds with rental income
818;68106;Management of self-owned strata titled property (i.e. Management Corporation Strata Title)
819;68201;Real estate agencies and valuation services
820;68202;Town councils
821;68203;Residential real estate management other than town councils
822;68204;Commercial and industrial real estate management
823;68209;Real estate activities on a fee or contract basis n.e.c.
824;69100;Legal activities
825;69201;Accounting and auditing services (including taxation advisory services)
826;69202;Book-keeping services
827;70101;Activities of head and regional head offices; Centralised administrative offices and subsidiary management offices
828;70102;Business representative offices
829;70201;Management consultancy services (general)
830;70202;Management consultancy services for healthcare organisations
831;70203;Management consultancy services for hotels
832;70204;Human resource consultancy services
833;70205;Public relations consultancy services
834;70206;Port, shipping and maritime-related consultancy services
835;70209;Management consultancy services n.e.c.
836;71111;Architectural services
837;71112;Landscape design and landscape architecture
838;71113;Quantity surveying services
839;71114;Land surveying services
840;71119;Other surveying services n.e.c. (e.g. geophysical, geologic, seismic, hydrographic surveying services)
841;71121;General building engineering design and consultancy services
842;71122;Process and industrial plant engineering design and consultancy services
843;71123;Engineering design and consultancy services in energy management and clean energy systems
844;71124;Environmental engineering design and consultancy services (except clean energy)
845;71125;Infrastructure engineering design and consultancy services
846;71126;Engineering design and consultancy services supporting mining, oil and gas extraction and offshore exploration activities
847;71129;Engineering design and consultancy activities n.e.c.
848;71200;Technical testing and analysis services (including certification of products and services)
849;72101;Research and experimental development on biotechnology, life and medical science
850;72102;Research and experimental development on electronics
851;72103;Research and experimental development on chemicals
852;72104;Research and experimental development on engineering
853;72105;Research and experimental development on IT
854;72106;Research and experimental development on environment and clean technologies
855;72107;Research and experimental development on medical technologies
856;72109;Research and experimental development on natural sciences n.e.c.
857;72200;Research and experimental development on social sciences and humanities
858;73100;Advertising activities
859;73200;Market research and public opinion polling
860;74111;Electronics-related industrial design services
861;74112;Transport-related industrial design services
862;74113;Furniture design services
863;74119;Industrial design activities n.e.c.
864;74191;Interior design services
865;74192;Art and graphic design services
866;74193;Fashion (including accessories) design services
867;74194;Exhibition stand design services
868;74199;Other specialised design activities n.e.c.
869;74201;Photo taking services (e.g. portrait or studio photography)
870;74202;Photo processing and finishing services
871;74209;Photographic activities n.e.c.
872;74901;Translation services
873;74902;Arbitration and mediation services
874;74903;Brokerage and consultancy services of intellectual property assets
875;74904;Agrotechnology consultancy services
876;74905;Carbon consultancy services
877;74906;Agents for artistes, athletes, models and other performers
878;74909;Other professional, scientific and technical activities n.e.c.
879;75000;Veterinary activities
880;77101;Renting and leasing of private cars without operator
881;77109;Renting and leasing of land transport equipment (except cars) without operator n.e.c. (e.g. lorries, trucks, caravans, motorcycles, containers, trailers)
882;77210;Renting and leasing of recreational and sports goods (e.g. leisure boats, bicycles, electric scooters)
883;77220;Renting of VCDs and DVDs
884;77291;Renting and leasing of furniture, utensils and electronic equipment for household use
885;77292;Renting of attire (e.g. costumes)
886;77299;Renting and leasing of other personal and household goods n.e.c. (e.g. books, music instruments)
887;77310;Renting of water transport equipment without operator (e.g. commercial boats and ships without operator)
888;77320;Renting of air transport equipment without operator (e.g. airplanes without operator)
889;77330;Renting of construction and civil engineering machinery and equipment
890;77341;Renting of computers and peripheral equipment
891;77342;Renting of office machinery and equipment
892;77391;Renting and leasing of professional radio and television sets and sound reproducing and recording equipment
893;77392;Renting of industrial machinery and equipment
894;77399;Renting of other machinery, equipment and tangible goods n.e.c. (e.g. agricultural machinery and equipment)
895;77400;Leasing of non-financial intangible assets (e.g. patents, trademarks, brand names etc)
896;78101;IT manpower contracting services
897;78102;Manpower contracting services (excluding IT manpower)
898;78103;Maid agencies
899;78104;Employment agencies (excluding maid agencies)
900;78105;Executive search services
901;78300;Management of human resource functions
902;79101;Travel agencies and tour operators (mainly inbound)
903;79102;Travel agencies and tour operators (mainly outbound)
904;79103;Ticketing agencies (including airline, tour bus and cruise ship)
905;79900;Other reservation service activities (e.g. timeshare, on-line hotel reservation services, reservation of tickets for performances etc)
906;80001;Detective and investigation agencies
907;80002;Security services
908;80009;Security and investigation activities n.e.c.
909;81211;General cleaning services (including cleaning of public areas, offices and factories) except household cleaning
910;81212;Domestic/Household cleaning services
911;81291;Pest control services not in connection with agriculture
912;81292;Cleaning of swimming pools, spas and fountains
913;81299;Other cleaning services n.e.c. (e.g. cleaning of trains, buses, aircrafts, industrial machinery)
914;81300;Landscape planting, care and maintenance service activities (e.g. garden installation and maintenance, grass cutting, tree felling, pruning)
915;82110;Office administrative services on a fee or contract basis (e.g. billing and record keeping)
916;82191;Stenographic and secretarial services
917;82192;Duplicating and photo-copying services
918;82199;Other specialised office support activities n.e.c.
919;82200;Call centres
920;82301;Exhibition organisers
921;82302;Convention/Conference organisers
922;82303;Event/Concert organisers
923;82304;Exhibition stand contractors
924;82911;Debt collection services
925;82912;Credit rating agencies
926;82920;Packaging activities
927;82991;Activities of auction houses
928;82999;Other business support service activities (e.g. junkets, administration of loyalty programmes)
929;84110;Executive, legislative and other general public administration (e.g. Istana, parliament, tax authority)
930;84120;Public administration of economic and social programmes
931;84210;Foreign affairs
932;84221;Armed forces
933;84229;Defence activities n.e.c.
934;84231;Judiciary and related services
935;84232;Police
936;84233;Prisons
937;84234;Other places of detention, correction and rehabilitation
938;84235;Civil defence
939;84239;Public order and safety activities n.e.c.
940;85101;Nurseries and kindergartens
941;85102;Primary schools
942;85103;International and foreign system schools (pre-primary and primary)
943;85104;Schools for students with special educational needs (pre-primary and primary)
944;85211;Secondary schools
945;85212;Junior colleges and centralised pre-university institutes (post-secondary non-tertiary)
946;85213;International and foreign system schools (secondary and post-secondary non-tertiary)
947;85214;Schools for students with special educational needs (secondary and post-secondary non-tertiary)
948;85215;Commercial schools offering general secondary and post-secondary non-tertiary education programmes
949;85220;Technical and vocational secondary and post-secondary non-tertiary education
950;85301;Polytechnics
951;85302;Universities
952;85303;Teachers' training institute
953;85304;Commercial schools offering higher education programmes
954;85410;Sports and recreation instruction
955;85420;Music, dancing, art, speech and drama instruction
956;85491;Corporate training services and motivational course providers
957;85492;Language instruction
958;85493;Driving instruction
959;85494;Academic tutoring services (e.g. tuition centres, private tutoring services)
960;85495;Maritime education and training
961;85499;Other education n.e.c.
962;85501;Student recruitment agencies
963;85502;Examination and accreditation agencies for education services
964;85509;Educational support services n.e.c. (e.g. tuition matching services)
965;86101;Acute hospitals
966;86102;Community hospitals
967;86109;Other hospitals n.e.c. (e.g. psychiatric hospital)
968;86201;Clinics and other general medical services (Western)
969;86202;Clinics and other general medical services (Non-Western)
970;86203;Specialised medical services (including day surgical centres)
971;86204;Dental services
972;86901;Medical laboratories (e.g. blood analysis laboratories)
973;86902;Medical diagnostic imaging centres (e.g. X-ray services)
974;86903;Ambulance and medical evacuation services
975;86904;Home healthcare services
976;86905;Dialysis services
977;86909;Other health services n.e.c. (e.g. physiotherapy, chiropractic, speech therapy)
978;87010;Nursing and personal care facilities (including nursing homes and hospices)
979;87021;Residential care services for the elderly (e.g. home for the aged)
980;87022;Residential care services for children (e.g. children’s homes, orphanages)
981;87029;Other residential care services n.e.c. (e.g. crisis shelters, halfway houses for substance abusers, residential care services for the physically disabled, intellectually disabled and community mental health patients, etc)
982;88101;Social services for the elderly (e.g. befriender services, meal services, drop-in centres)
983;88102;Social services for persons with disabilities (e.g. day care centres for persons with disabilities)
984;88911;Child care services for pre-school children (including infant care services)
985;88912;Child/Student care services for school-going children (e.g. before and after-school care centres, student care centres)
986;88913;Social services for children and youths (e.g. youth outreach services, adoption services)
987;88919;Social services without accommodation for children, youth and families n.e.c.
988;88921;Community centres/clubs, community development councils and related activities
989;88922;Residents' committees and residential associations (including citizens' consultative committees)
990;88929;Community activities n.e.c.
991;88991;Job training and vocational rehabilitation services
992;88992;Charitable and other supporting activities aimed at humanitarian work
993;88999;Other social services without accommodation n.e.c.
994;90001;Production of live theatrical presentations (e.g. stage plays, musicals and theatre productions)
995;90002;Performing arts venue operation
996;90003;Operas, wayang and puppet shows
997;90004;Orchestras, musical bands, choirs and dance groups
998;90009;Dramatic arts, music and other arts production-related activities n.e.c. (e.g. stage, lighting and sound services)
999;91010;Libraries and archives activities
1000;91021;Museums
1001;91022;Art galleries (excluding retail)
1002;91029;Preservation of historical sites, buildings, artefacts and paintings, cultural villages and other related activities n.e.c.
1003;91030;Botanical and zoological gardens and nature reserves activities
1004;92001;Horse-racing and other betting activities
1005;92002;Casinos
1006;93111;Fitness centres and gymnasiums
1007;93119;Operation of sports facilities n.e.c. (e.g. bowling alleys, tennis centres, billiard halls, football stadium)
1008;93120;Activities of sports clubs/associations and related activities
1009;93201;Amusement theme parks
1010;93202;Game arcade, online game aggregator, LAN game operators and gaming centres
1011;93203;Night clubs, discotheques, dance clubs and karaoke lounges
1012;93204;Recreation clubs (including country clubs)
1013;93209;Other amusement and recreation activities n.e.c. (including recreation parks/beaches and recreational fishing)
1014;94110;Activities of business and employers' membership organisations
1015;94120;Activities of professional membership organisations (e.g. medical associations, law societies, accountancy bodies)
1016;94200;Activities of trade unions
1017;94911;Churches
1018;94912;Mosques
1019;94913;Buddhist/Taoist temples
1020;94914;Hindu/Sikh temples
1021;94919;Activities of religious organisations n.e.c.
1022;94920;Activities of political organisations
1023;94991;Philanthropic trusts, foundations and related activities
1024;94992;Ethnic associations (including clan associations, huay kuans)
1025;94993;Associations for hobbies, recreational, cultural and extra-curricular activities (e.g. scouts/girl guides association, book clubs and photo, music, art and craft clubs)
1026;94994;Student/Alumni bodies and related associations (e.g. parent-teacher associations, old boys' associations)
1027;94995;Organisations for the protection of the environment and animals
1028;94999;Activities of other membership organisations n.e.c.
1029;95110;Repair and maintenance of computer hardware, data processing equipment and computer peripherals
1030;95120;Repair of communications equipment (e.g. mobile phones and fax machines)
1031;95210;Repair of audio and video equipment (e.g. television sets, speakers and DVD players)
1032;95220;Repair of domestic electrical/electronic appliances except audio and video equipment (e.g. refrigerators, washing machines and room air-conditioners)
1033;95230;Repair of footwear and leather goods
1034;95240;Repair and restoration of cabinets, furniture, upholstery, window shades and other fixtures
1035;95291;Repair of bicycles and tricycles
1036;95292;Repair of watches and clocks
1037;95293;Repair of jewellery
1038;95299;Repair of other personal and household goods n.e.c. (e.g. cameras, musical instruments)
1039;95301;Repair and maintenance of motor vehicles (including installation of parts & accessories)
1040;95302;Car washing and related services
1041;95303;Vehicle inspection and valuation services
1042;96011;Laundry and dry cleaning services except self-operated laundries
1043;96012;Self-operated laundries
1044;96021;Hairdressing salons/shops (including barber shops)
1045;96022;Beauty salons and spas (including slimming, skin care and hair care centres)
1046;96023;Manicure and pedicure services
1047;96024;Massage parlours and foot reflexology
1048;96029;Beauty and other personal care services n.e.c.
1049;96030;Funeral and related activities (including embalming, cremating and cemetery services, upkeep of cemeteries)
1050;96040;Wedding and related activities (including bridal studios and wedding planners)
1051;96091;Friendship, match-making and dating services
1052;96092;Social escort services
1053;96093;Astrology, palmistry and other fortune telling services
1054;96094;Training of pets and animals
1055;96095;Care services for pets and animals
1056;96099;Other personal service activities n.e.c.
1057;97001;Activities of households as employers of domestic workers
1058;97002;Activities of households as employers of other domestic personnel (e.g. housekeepers)
1059;99010;Foreign embassies and trade representative offices
1060;99020;Foreign armed forces
1061;99090;Other extra-territorial organisations and bodies
1062;00000;Activities not adequately defined
1063;68109;Old SSIC code
